epoch,step,phase,train_loss,loss_sent,loss_prosody,loss_words,loss_phones,val_loss,mae_total,mae_accuracy,mae_fluency,mae_prosodic,mae_completeness,rmse_total,rmse_accuracy,rmse_fluency,rmse_prosodic,rmse_completeness,pearson_total,pearson_accuracy,pearson_fluency,pearson_prosodic,pearson_completeness,spearman_total,spearman_accuracy,spearman_fluency,spearman_prosodic,spearman_completeness
1,50,train,0.144634,0.029452,0.004996,0.021726,0.051987,,,,,,,,,,,,,,,,,,,,,
1,100,train,0.052775,0.020789,0.002120,0.020944,0.035462,,,,,,,,,,,,,,,,,,,,,
1,150,train,0.041176,0.023493,0.003338,0.024612,0.038556,,,,,,,,,,,,,,,,,,,,,
1,200,train,0.034071,0.011670,0.001716,0.017181,0.018503,,,,,,,,,,,,,,,,,,,,,
1,250,train,0.037240,0.013656,0.005740,0.013032,0.021681,,,,,,,,,,,,,,,,,,,,,
1,300,train,0.037848,0.011856,0.004516,0.019611,0.028375,,,,,,,,,,,,,,,,,,,,,
1,350,train,0.036085,0.007973,0.004536,0.017368,0.030986,,,,,,,,,,,,,,,,,,,,,
1,400,train,0.042114,0.017247,0.004669,0.026840,0.030498,,,,,,,,,,,,,,,,,,,,,
1,450,train,0.035912,0.006251,0.001614,0.002856,0.004407,,,,,,,,,,,,,,,,,,,,,
1,500,train,0.030603,0.008827,0.001618,0.008761,0.011486,,,,,,,,,,,,,,,,,,,,,
1,550,train,0.032907,0.005531,0.001559,0.002344,0.003845,,,,,,,,,,,,,,,,,,,,,
1,600,train,0.024857,0.003035,0.001088,0.004277,0.003634,,,,,,,,,,,,,,,,,,,,,
1,end,val,,,,,,0.024376,0.098840,0.098272,0.087957,0.089919,0.504262,0.132927,0.134394,0.116745,0.119073,0.504654,0.517044,0.487249,0.583900,0.571562,-0.000338,0.460618,0.422014,0.526516,0.506086,-0.014873
2,50,train,0.027705,0.009736,0.001120,0.021280,0.035980,,,,,,,,,,,,,,,,,,,,,
2,100,train,0.028621,0.010674,0.003175,0.019786,0.024213,,,,,,,,,,,,,,,,,,,,,
2,150,train,0.025295,0.018266,0.003325,0.027743,0.038202,,,,,,,,,,,,,,,,,,,,,
2,200,train,0.026031,0.021685,0.002344,0.028243,0.043964,,,,,,,,,,,,,,,,,,,,,
2,250,train,0.030451,0.002160,0.004358,0.001069,0.001993,,,,,,,,,,,,,,,,,,,,,
2,300,train,0.025371,0.003895,0.002294,0.014528,0.020588,,,,,,,,,,,,,,,,,,,,,
2,350,train,0.021710,0.009261,0.003122,0.023272,0.028544,,,,,,,,,,,,,,,,,,,,,
2,400,train,0.024714,0.015474,0.001601,0.018581,0.022245,,,,,,,,,,,,,,,,,,,,,
2,450,train,0.023162,0.002039,0.001123,0.015530,0.026655,,,,,,,,,,,,,,,,,,,,,
2,500,train,0.024210,0.006004,0.002149,0.000840,0.001429,,,,,,,,,,,,,,,,,,,,,
2,550,train,0.019490,0.004259,0.001135,0.027164,0.050509,,,,,,,,,,,,,,,,,,,,,
2,600,train,0.023081,0.020382,0.000904,0.019694,0.059939,,,,,,,,,,,,,,,,,,,,,
2,end,val,,,,,,0.022791,0.084851,0.092970,0.084083,0.078736,0.497422,0.124114,0.126920,0.110403,0.109689,0.497806,0.623488,0.597855,0.655528,0.650839,-0.029442,0.571996,0.525984,0.640277,0.622488,-0.015312
3,50,train,0.027593,0.005791,0.002091,0.016385,0.011683,,,,,,,,,,,,,,,,,,,,,
3,100,train,0.020890,0.005844,0.001818,0.002027,0.003407,,,,,,,,,,,,,,,,,,,,,
3,150,train,0.025997,0.011610,0.000626,0.037466,0.045202,,,,,,,,,,,,,,,,,,,,,
3,200,train,0.022511,0.004076,0.000694,0.020947,0.043315,,,,,,,,,,,,,,,,,,,,,
3,250,train,0.020922,0.004407,0.001974,0.006441,0.007044,,,,,,,,,,,,,,,,,,,,,
3,300,train,0.024298,0.017877,0.001159,0.010693,0.016500,,,,,,,,,,,,,,,,,,,,,
3,350,train,0.021484,0.001287,0.001505,0.000401,0.001564,,,,,,,,,,,,,,,,,,,,,
3,400,train,0.022110,0.003964,0.001813,0.006089,0.008009,,,,,,,,,,,,,,,,,,,,,
3,450,train,0.020773,0.003083,0.001443,0.014071,0.024692,,,,,,,,,,,,,,,,,,,,,
3,500,train,0.026633,0.000979,0.001610,0.011325,0.014869,,,,,,,,,,,,,,,,,,,,,
3,550,train,0.020262,0.002468,0.001277,0.013408,0.020059,,,,,,,,,,,,,,,,,,,,,
3,600,train,0.024824,0.005058,0.000496,0.030675,0.051981,,,,,,,,,,,,,,,,,,,,,
3,end,val,,,,,,0.023403,0.086036,0.093730,0.085632,0.082041,0.492632,0.127407,0.129473,0.115358,0.114228,0.493005,0.612537,0.598589,0.631583,0.631093,0.021528,0.563319,0.520661,0.611845,0.602861,0.018132
4,50,train,0.019757,0.004190,0.001319,0.003523,0.004826,,,,,,,,,,,,,,,,,,,,,
4,100,train,0.021815,0.004372,0.000837,0.029958,0.050722,,,,,,,,,,,,,,,,,,,,,
4,150,train,0.022438,0.001799,0.001583,0.014107,0.003641,,,,,,,,,,,,,,,,,,,,,
4,200,train,0.022481,0.004817,0.001330,0.016972,0.016355,,,,,,,,,,,,,,,,,,,,,
4,250,train,0.026714,0.005140,0.001063,0.013266,0.026879,,,,,,,,,,,,,,,,,,,,,
4,300,train,0.022100,0.002344,0.001046,0.004441,0.004903,,,,,,,,,,,,,,,,,,,,,
4,350,train,0.022284,0.004621,0.001442,0.012781,0.011686,,,,,,,,,,,,,,,,,,,,,
4,400,train,0.021539,0.002228,0.001582,0.013826,0.024932,,,,,,,,,,,,,,,,,,,,,
4,450,train,0.021657,0.005560,0.001952,0.015966,0.031382,,,,,,,,,,,,,,,,,,,,,
4,500,train,0.022836,0.004400,0.002013,0.004919,0.002755,,,,,,,,,,,,,,,,,,,,,
4,550,train,0.021511,0.002570,0.000909,0.010592,0.025039,,,,,,,,,,,,,,,,,,,,,
4,600,train,0.022069,0.019225,0.001406,0.010505,0.010111,,,,,,,,,,,,,,,,,,,,,
4,end,val,,,,,,0.024219,0.104705,0.107428,0.096614,0.096096,0.497174,0.133024,0.135319,0.123276,0.121739,0.497561,0.632081,0.609959,0.673600,0.665337,-0.006051,0.563481,0.535366,0.615993,0.612353,-0.017899
5,50,train,0.021997,0.007610,0.001315,0.018489,0.019272,,,,,,,,,,,,,,,,,,,,,
5,100,train,0.022325,0.003407,0.000850,0.008415,0.010011,,,,,,,,,,,,,,,,,,,,,
5,150,train,0.023434,0.002498,0.001236,0.003282,0.000702,,,,,,,,,,,,,,,,,,,,,
5,200,train,0.019098,0.006569,0.000446,0.015360,0.020543,,,,,,,,,,,,,,,,,,,,,
5,250,train,0.020697,0.007413,0.001004,0.025551,0.025155,,,,,,,,,,,,,,,,,,,,,
5,300,train,0.017343,0.002130,0.001424,0.018179,0.030822,,,,,,,,,,,,,,,,,,,,,
5,350,train,0.025155,0.005101,0.001134,0.035541,0.072141,,,,,,,,,,,,,,,,,,,,,
5,400,train,0.023168,0.008934,0.001671,0.011406,0.021360,,,,,,,,,,,,,,,,,,,,,
5,450,train,0.022161,0.001164,0.001142,0.007481,0.006098,,,,,,,,,,,,,,,,,,,,,
5,500,train,0.022141,0.003309,0.000830,0.014142,0.020795,,,,,,,,,,,,,,,,,,,,,
5,550,train,0.023309,0.005275,0.000365,0.008313,0.008043,,,,,,,,,,,,,,,,,,,,,
5,600,train,0.020098,0.002427,0.000522,0.022381,0.035289,,,,,,,,,,,,,,,,,,,,,
5,end,val,,,,,,0.024010,0.091743,0.091435,0.081554,0.084807,0.504748,0.131867,0.133287,0.114357,0.115769,0.505118,0.598827,0.585404,0.638312,0.635102,0.021611,0.551930,0.520702,0.594133,0.594533,0.031305
6,50,train,0.020789,0.001174,0.001896,0.000332,0.002506,,,,,,,,,,,,,,,,,,,,,
6,100,train,0.024720,0.005130,0.000748,0.020288,0.047359,,,,,,,,,,,,,,,,,,,,,
6,150,train,0.024732,0.002190,0.001114,0.020400,0.032864,,,,,,,,,,,,,,,,,,,,,
6,200,train,0.019498,0.002976,0.001038,0.019242,0.038974,,,,,,,,,,,,,,,,,,,,,
6,250,train,0.022849,0.004026,0.001358,0.000262,0.003545,,,,,,,,,,,,,,,,,,,,,
6,300,train,0.016187,0.004240,0.001092,0.014417,0.015845,,,,,,,,,,,,,,,,,,,,,
6,350,train,0.018714,0.003730,0.001645,0.011366,0.014551,,,,,,,,,,,,,,,,,,,,,
6,400,train,0.018655,0.005279,0.000979,0.012163,0.008979,,,,,,,,,,,,,,,,,,,,,
6,450,train,0.018196,0.006496,0.000679,0.000162,0.000987,,,,,,,,,,,,,,,,,,,,,
6,500,train,0.018738,0.002046,0.000679,0.012669,0.015271,,,,,,,,,,,,,,,,,,,,,
6,550,train,0.019722,0.006272,0.001741,0.012846,0.039784,,,,,,,,,,,,,,,,,,,,,
6,600,train,0.025313,0.003569,0.000632,0.009219,0.027333,,,,,,,,,,,,,,,,,,,,,
6,end,val,,,,,,0.021638,0.082741,0.085085,0.073226,0.073366,0.491445,0.114451,0.117226,0.100195,0.100137,0.491819,0.679841,0.658434,0.715718,0.715465,0.005119,0.647484,0.611788,0.692966,0.696251,-0.028828
7,50,train,0.019919,0.002249,0.000456,0.000860,0.000864,,,,,,,,,,,,,,,,,,,,,
7,100,train,0.020242,0.001872,0.000635,0.015794,0.032891,,,,,,,,,,,,,,,,,,,,,
7,150,train,0.017844,0.006604,0.000948,0.009479,0.015828,,,,,,,,,,,,,,,,,,,,,
7,200,train,0.021873,0.006111,0.000643,0.028689,0.048595,,,,,,,,,,,,,,,,,,,,,
7,250,train,0.018878,0.002779,0.000779,0.000155,0.000712,,,,,,,,,,,,,,,,,,,,,
7,300,train,0.019586,0.002340,0.000847,0.012594,0.014985,,,,,,,,,,,,,,,,,,,,,
7,350,train,0.021322,0.003083,0.000751,0.010014,0.027315,,,,,,,,,,,,,,,,,,,,,
7,400,train,0.017167,0.005552,0.000459,0.014338,0.024257,,,,,,,,,,,,,,,,,,,,,
7,450,train,0.022301,0.006814,0.000987,0.012486,0.018629,,,,,,,,,,,,,,,,,,,,,
7,500,train,0.020075,0.006127,0.001521,0.010320,0.017278,,,,,,,,,,,,,,,,,,,,,
7,550,train,0.020966,0.004859,0.000835,0.000279,0.002009,,,,,,,,,,,,,,,,,,,,,
7,600,train,0.019700,0.002309,0.001718,0.000104,0.001891,,,,,,,,,,,,,,,,,,,,,
7,end,val,,,,,,0.021403,0.082702,0.082862,0.072925,0.072931,0.494876,0.113509,0.115870,0.099603,0.099258,0.495252,0.683739,0.662875,0.726368,0.725357,0.035002,0.652533,0.616639,0.706157,0.705027,0.011854
8,50,train,0.020847,0.002876,0.000943,0.018218,0.018301,,,,,,,,,,,,,,,,,,,,,
8,100,train,0.019656,0.001345,0.000807,0.007606,0.012441,,,,,,,,,,,,,,,,,,,,,
8,150,train,0.019309,0.006516,0.002449,0.028967,0.053197,,,,,,,,,,,,,,,,,,,,,
8,200,train,0.020599,0.001636,0.000731,0.000187,0.001427,,,,,,,,,,,,,,,,,,,,,
8,250,train,0.019447,0.002100,0.001737,0.019204,0.046670,,,,,,,,,,,,,,,,,,,,,
8,300,train,0.019376,0.002224,0.000997,0.034823,0.064368,,,,,,,,,,,,,,,,,,,,,
8,350,train,0.018054,0.001977,0.000425,0.000071,0.000882,,,,,,,,,,,,,,,,,,,,,
8,400,train,0.023574,0.004181,0.000826,0.019126,0.010393,,,,,,,,,,,,,,,,,,,,,
8,450,train,0.017632,0.003827,0.003962,0.022799,0.033151,,,,,,,,,,,,,,,,,,,,,
8,500,train,0.017468,0.002145,0.001423,0.005058,0.003549,,,,,,,,,,,,,,,,,,,,,
8,550,train,0.016009,0.005666,0.001033,0.007403,0.005409,,,,,,,,,,,,,,,,,,,,,
8,600,train,0.017294,0.003950,0.000360,0.002246,0.004795,,,,,,,,,,,,,,,,,,,,,
8,end,val,,,,,,0.021405,0.081803,0.084660,0.068763,0.070626,0.497587,0.115884,0.120228,0.096068,0.098929,0.497968,0.689845,0.662826,0.746855,0.737744,-0.014167,0.661749,0.626818,0.724888,0.715629,-0.042553
9,50,train,0.017237,0.000917,0.001536,0.002223,0.004612,,,,,,,,,,,,,,,,,,,,,
9,100,train,0.017361,0.001284,0.000711,0.008320,0.004330,,,,,,,,,,,,,,,,,,,,,
9,150,train,0.019454,0.003345,0.000563,0.005828,0.011727,,,,,,,,,,,,,,,,,,,,,
9,200,train,0.020499,0.007967,0.000987,0.000666,0.001948,,,,,,,,,,,,,,,,,,,,,
9,250,train,0.019210,0.004149,0.000703,0.017883,0.025217,,,,,,,,,,,,,,,,,,,,,
9,300,train,0.019683,0.004180,0.001343,0.012271,0.027337,,,,,,,,,,,,,,,,,,,,,
