epoch,step,phase,train_loss,loss_sent,loss_prosody,val_loss,mae_total,mae_accuracy,mae_fluency,mae_prosodic,mae_completeness,rmse_total,rmse_accuracy,rmse_fluency,rmse_prosodic,rmse_completeness,pearson_total,pearson_accuracy,pearson_fluency,pearson_prosodic,pearson_completeness,spearman_total,spearman_accuracy,spearman_fluency,spearman_prosodic,spearman_completeness
1,50,train,0.075614,0.082645,0.072705,,,,,,,,,,,,,,,,,,,,,
1,100,train,0.072397,0.038022,0.061237,,,,,,,,,,,,,,,,,,,,,
1,150,train,0.061348,0.073927,0.086763,,,,,,,,,,,,,,,,,,,,,
1,200,train,0.044470,0.042193,0.098351,,,,,,,,,,,,,,,,,,,,,
1,250,train,0.037383,0.035867,0.103428,,,,,,,,,,,,,,,,,,,,,
1,300,train,0.034675,0.014764,0.112353,,,,,,,,,,,,,,,,,,,,,
1,350,train,0.026990,0.012402,0.175690,,,,,,,,,,,,,,,,,,,,,
1,400,train,0.024060,0.036786,0.158478,,,,,,,,,,,,,,,,,,,,,
1,450,train,0.026517,0.013261,0.168557,,,,,,,,,,,,,,,,,,,,,
1,500,train,0.022467,0.011177,0.197277,,,,,,,,,,,,,,,,,,,,,
1,550,train,0.014609,0.012702,0.115168,,,,,,,,,,,,,,,,,,,,,
1,600,train,0.013546,0.010269,0.228184,,,,,,,,,,,,,,,,,,,,,
1,end,val,,,,0.013512,0.088138,0.091916,0.079805,0.077850,0.663640,0.124712,0.125403,0.106375,0.107014,0.665597,0.607828,0.585160,0.674648,0.665622,-0.004478,0.536987,0.504571,0.603084,0.597206,-0.034127
2,50,train,0.012818,0.011336,0.214228,,,,,,,,,,,,,,,,,,,,,
2,100,train,0.013436,0.013998,0.228956,,,,,,,,,,,,,,,,,,,,,
2,150,train,0.010673,0.012900,0.254838,,,,,,,,,,,,,,,,,,,,,
2,200,train,0.010879,0.021621,0.241038,,,,,,,,,,,,,,,,,,,,,
2,250,train,0.011422,0.007824,0.277961,,,,,,,,,,,,,,,,,,,,,
2,300,train,0.009597,0.009428,0.237621,,,,,,,,,,,,,,,,,,,,,
2,350,train,0.010990,0.008432,0.184227,,,,,,,,,,,,,,,,,,,,,
2,400,train,0.008126,0.011726,0.199823,,,,,,,,,,,,,,,,,,,,,
2,450,train,0.012247,0.021378,0.295369,,,,,,,,,,,,,,,,,,,,,
2,500,train,0.009678,0.003982,0.306228,,,,,,,,,,,,,,,,,,,,,
2,550,train,0.009146,0.002906,0.274336,,,,,,,,,,,,,,,,,,,,,
2,600,train,0.009356,0.005587,0.251205,,,,,,,,,,,,,,,,,,,,,
2,end,val,,,,0.011950,0.081678,0.087415,0.072457,0.071466,0.652005,0.115956,0.119882,0.100769,0.099135,0.654599,0.697534,0.673369,0.730672,0.736391,-0.008914,0.672937,0.624107,0.725752,0.727688,-0.057056
3,50,train,0.008700,0.005782,0.246108,,,,,,,,,,,,,,,,,,,,,
3,100,train,0.007466,0.011050,0.196494,,,,,,,,,,,,,,,,,,,,,
3,150,train,0.009780,0.005077,0.200184,,,,,,,,,,,,,,,,,,,,,
3,200,train,0.008592,0.005290,0.284599,,,,,,,,,,,,,,,,,,,,,
3,250,train,0.007529,0.015198,0.186108,,,,,,,,,,,,,,,,,,,,,
3,300,train,0.009146,0.001651,0.184598,,,,,,,,,,,,,,,,,,,,,
3,350,train,0.007485,0.007998,0.172448,,,,,,,,,,,,,,,,,,,,,
3,400,train,0.007322,0.004911,0.221801,,,,,,,,,,,,,,,,,,,,,
3,450,train,0.008528,0.004806,0.217234,,,,,,,,,,,,,,,,,,,,,
